lat,long,elev,name,Year,Temp,state
-14.3,126.65,23.0,KALUMBURU,1975,33.62336,Western Australia
-14.3,126.65,23.0,KALUMBURU,1976,33.32568,Western Australia
-14.3,126.65,23.0,KALUMBURU,1977,33.02055,Western Australia
-14.3,126.65,23.0,KALUMBURU,1978,33.94011,Western Australia
-14.3,126.65,23.0,KALUMBURU,1979,34.1272,Western Australia
-14.3,126.65,23.0,KALUMBURU,1980,34.23934,Western Australia
-14.3,126.65,23.0,KALUMBURU,1981,34.24986,Western Australia
-14.3,126.65,23.0,KALUMBURU,1982,33.30028,Western Australia
-14.3,126.65,23.0,KALUMBURU,1983,33.77812,Western Australia
-14.3,126.65,23.0,KALUMBURU,1984,33.67507,Western Australia
-14.3,126.65,23.0,KALUMBURU,1985,34.10447,Western Australia
-14.3,126.65,23.0,KALUMBURU,1986,35.10747,Western Australia
-14.3,126.65,23.0,KALUMBURU,1987,34.18258,Western Australia
-14.3,126.65,23.0,KALUMBURU,1988,34.65994,Western Australia
-14.3,126.65,23.0,KALUMBURU,1989,34.02092,Western Australia
-14.3,126.65,23.0,KALUMBURU,1990,34.22219,Western Australia
-14.3,126.65,23.0,KALUMBURU,1991,34.08425,Western Australia
-14.3,126.65,23.0,KALUMBURU,1992,34.6276,Western Australia
-14.3,126.65,23.0,KALUMBURU,1993,33.98301,Western Australia
-14.3,126.65,23.0,KALUMBURU,1994,33.85686,Western Australia
-14.3,126.65,23.0,KALUMBURU,1995,33.75317,Western Australia
-14.3,126.65,23.0,KALUMBURU,1996,34.10889,Western Australia
-14.3,126.65,23.0,KALUMBURU,1997,34.00121,Western Australia
-14.3,126.65,23.0,KALUMBURU,1998,34.92747,Western Australia
-14.3,126.65,23.0,KALUMBURU,1999,33.84396,Western Australia
-14.3,126.65,23.0,KALUMBURU,2000,33.35699,Western Australia
-14.3,126.65,23.0,KALUMBURU,2001,34.14411,Western Australia
-14.3,126.65,23.0,KALUMBURU,2002,35.36438,Western Australia
-14.3,126.65,23.0,KALUMBURU,2003,34.93616,Western Australia
-14.3,126.65,23.0,KALUMBURU,2004,33.7265,Western Australia
-14.3,126.65,23.0,KALUMBURU,2005,35.12219,Western Australia
-14.3,126.65,23.0,KALUMBURU,2006,33.15789,Western Australia
-14.3,126.65,23.0,KALUMBURU,2007,34.33844,Western Australia
-14.3,126.65,23.0,KALUMBURU,2008,34.32235,Western Australia
-14.3,126.65,23.0,KALUMBURU,2009,34.82844,Western Australia
-14.3,126.65,23.0,KALUMBURU,2010,33.99311,Western Australia
-14.3,126.65,23.0,KALUMBURU,2011,32.71896,Western Australia
-14.3,126.65,23.0,KALUMBURU,2012,33.7277,Western Australia
-14.3,126.65,23.0,KALUMBURU,2013,34.68154,Western Australia
-14.3,126.65,23.0,KALUMBURU,2014,34.24753,Western Australia
-14.3,126.65,23.0,KALUMBURU,2015,34.67871,Western Australia
-14.3,126.65,23.0,KALUMBURU,2016,36.02521,Western Australia
-14.3,126.65,23.0,KALUMBURU,2017,34.85234,Western Australia
-14.3,126.65,23.0,KALUMBURU,2018,35.69307,Western Australia
-14.3,126.65,23.0,KALUMBURU,2019,35.37143,Western Australia
-18.23,127.66,422.0,HALLS CREEK,1975,32.6951,Western Australia
-18.23,127.66,422.0,HALLS CREEK,1976,31.25447,Western Australia
-18.23,127.66,422.0,HALLS CREEK,1977,32.14505,Western Australia
-18.23,127.66,422.0,HALLS CREEK,1978,32.44164,Western Australia
-18.23,127.66,422.0,HALLS CREEK,1979,32.34725,Western Australia
-18.23,127.66,422.0,HALLS CREEK,1980,33.0659,Western Australia
-18.23,127.66,422.0,HALLS CREEK,1981,33.5374,Western Australia
-18.23,127.66,422.0,HALLS CREEK,1982,32.13644,Western Australia
-18.23,127.66,422.0,HALLS CREEK,1983,32.04219,Western Australia
-18.23,127.66,422.0,HALLS CREEK,1984,32.61421,Western Australia
-18.23,127.66,422.0,HALLS CREEK,1985,33.34971,Western Australia
-18.23,127.66,422.0,HALLS CREEK,1986,33.6989,Western Australia
-18.23,127.66,422.0,HALLS CREEK,1987,33.16301,Western Australia
-18.23,127.66,422.0,HALLS CREEK,1988,33.99317,Western Australia
-18.23,127.66,422.0,HALLS CREEK,1989,33.40301,Western Australia
-18.23,127.66,422.0,HALLS CREEK,1990,33.78082,Western Australia
-18.23,127.66,422.0,HALLS CREEK,1991,33.41671,Western Australia
-18.23,127.66,422.0,HALLS CREEK,1992,34.33634,Western Australia
-18.23,127.66,422.0,HALLS CREEK,1993,33.10548,Western Australia
-18.23,127.66,422.0,HALLS CREEK,1994,32.62384,Western Australia
-18.23,127.66,422.0,HALLS CREEK,1995,32.71507,Western Australia
-18.23,127.66,422.0,HALLS CREEK,1996,33.44399,Western Australia
-18.23,127.66,422.0,HALLS CREEK,1997,32.65096,Western Australia
-18.23,127.66,422.0,HALLS CREEK,1998,34.1489,Western Australia
-18.23,127.66,422.0,HALLS CREEK,1999,33.13068,Western Australia
-18.23,127.66,422.0,HALLS CREEK,2000,31.58934,Western Australia
-18.23,127.66,422.0,HALLS CREEK,2001,32.15589,Western Australia
-18.23,127.66,422.0,HALLS CREEK,2002,33.20767,Western Australia
-18.23,127.66,422.0,HALLS CREEK,2003,33.92466,Western Australia
-18.23,127.66,422.0,HALLS CREEK,2004,32.91038,Western Australia
-18.23,127.66,422.0,HALLS CREEK,2005,34.58603,Western Australia
-18.23,127.66,422.0,HALLS CREEK,2006,32.64274,Western Australia
-18.23,127.66,422.0,HALLS CREEK,2007,33.01129,Western Australia
-18.23,127.66,422.0,HALLS CREEK,2008,33.31503,Western Australia
-18.23,127.66,422.0,HALLS CREEK,2009,33.54187,Western Australia
-18.23,127.66,422.0,HALLS CREEK,2010,34.00055,Western Australia
-18.23,127.66,422.0,HALLS CREEK,2011,31.54356,Western Australia
-18.23,127.66,422.0,HALLS CREEK,2012,32.29016,Western Australia
-18.23,127.66,422.0,HALLS CREEK,2013,34.28356,Western Australia
-18.23,127.66,422.0,HALLS CREEK,2014,33.7211,Western Australia
-18.23,127.66,422.0,HALLS CREEK,2015,33.60525,Western Australia
-18.23,127.66,422.0,HALLS CREEK,2016,34.76181,Western Australia
-18.23,127.66,422.0,HALLS CREEK,2017,33.60521,Western Australia
-18.23,127.66,422.0,HALLS CREEK,2018,34.53288,Western Australia
-18.23,127.66,422.0,HALLS CREEK,2019,36.67415,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,1975,32.03301,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,1976,31.30956,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,1977,31.97315,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,1978,31.14247,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,1979,32.07014,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,1980,32.60082,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,1981,32.38493,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,1982,32.14877,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,1983,31.91464,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,1984,32.01694,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,1985,31.86822,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,1986,31.34658,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,1987,32.02904,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,1988,33.08087,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,1989,32.41753,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,1990,32.68,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,1991,31.53836,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,1992,32.09699,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,1993,31.55726,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,1994,32.67397,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,1995,32.13808,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,1996,32.3123,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,1997,31.33918,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,1998,32.6211,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,1999,32.10027,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,2000,31.03388,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,2001,31.53425,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,2002,32.82466,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,2003,32.21425,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,2004,31.56202,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,2005,32.36301,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,2006,31.95781,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,2007,32.27671,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,2008,32.57568,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,2009,32.72164,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,2010,33.00274,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,2011,31.97288,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,2012,32.66202,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,2013,32.59781,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,2014,33.07562,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,2015,33.04027,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,2016,33.33342,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,2017,32.94215,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,2018,32.30495,Western Australia
-17.95,122.24,7.4,BROOME AIRPORT,2019,34.26067,Western Australia
-20.37,118.63,6.4,PORT HEDLAND AIRPORT,1975,32.63072,Western Australia
-20.37,118.63,6.4,PORT HEDLAND AIRPORT,1976,32.76873,Western Australia
-20.37,118.63,6.4,PORT HEDLAND AIRPORT,1977,33.6,Western Australia
-20.37,118.63,6.4,PORT HEDLAND AIRPORT,1978,32.4283,Western Australia
-20.37,118.63,6.4,PORT HEDLAND AIRPORT,1979,33.90904,Western Australia
-20.37,118.63,6.4,PORT HEDLAND AIRPORT,1980,33.95378,Western Australia
-20.37,118.63,6.4,PORT HEDLAND AIRPORT,1981,33.4341,Western Australia
-20.37,118.63,6.4,PORT HEDLAND AIRPORT,1982,33.57961,Western Australia
-20.37,118.63,6.4,PORT HEDLAND AIRPORT,1983,33.69616,Western Australia
-20.37,118.63,6.4,PORT HEDLAND AIRPORT,1984,33.54617,Western Australia
-20.37,118.63,6.4,PORT HEDLAND AIRPORT,1985,33.70219,Western Australia
-20.37,118.63,6.4,PORT HEDLAND AIRPORT,1986,33.11068,Western Australia
-20.37,118.63,6.4,PORT HEDLAND AIRPORT,1987,33.36603,Western Australia
-20.37,118.63,6.4,PORT HEDLAND AIRPORT,1988,33.83333,Western Australia
-20.37,118.63,6.4,PORT HEDLAND AIRPORT,1989,32.65427,Western Australia
-20.37,118.63,6.4,PORT HEDLAND AIRPORT,1990,34.18986,Western Australia
-20.37,118.63,6.4,PORT HEDLAND AIRPORT,1991,33.73726,Western Australia
