"Suburb","avg_price","count","lat","lon"
"Abbotsford",1076653.84615385,65,-37.8042767692308,144.997440615385
"Aberfeldie",1255808.5106383,47,-37.7592104255319,144.897397659574
"Airport West",749760.577464789,71,-37.7233684507042,144.879690704225
"Albanvale",533062.5,8,-37.74592875,144.771085
"Albert Park",1944770.83333333,72,-37.8440675,144.953081944444
"Albion",598309.523809524,42,-37.7807921428571,144.819449761905
"Alphington",1377027.02702703,37,-37.7775281081081,145.029045135135
"Altona",830839.102564103,78,-37.8669298717949,144.821176282051
"Altona Meadows",660062.5,8,-37.8795075,144.77992625
"Altona North",804041.666666667,60,-37.8348631666667,144.849948833333
"Ardeer",651750,4,-37.77715,144.8012225
"Armadale",1516500,106,-37.8568690566038,145.019199811321
"Ascot Vale",1056702.12765957,141,-37.7761634042553,144.91571787234
"Ashburton",1699111.11111111,63,-37.867233968254,145.079975238095
"Ashwood",1160647.95918367,49,-37.8663440816327,145.104888571429
"Aspendale",1335222.22222222,9,-38.0225855555556,145.099918888889
"Aspendale Gardens",874200,5,-38.021488,145.12128
"Attwood",735000,2,-37.672475,144.889135
"Avondale Heights",808772.727272727,77,-37.7609409090909,144.860489350649
"Bacchus Marsh",285000,1,-37.67344,144.43181
"Balaclava",787500,31,-37.87073,144.99508516129
"Balwyn",1828622.95081967,122,-37.8092709016393,145.081534180328
"Balwyn North",1787156,175,-37.7934268571429,145.0860128
"Bayswater",741382.352941177,17,-37.8470588235294,145.259282352941
"Bayswater North",711111.111111111,9,-37.8261866666667,145.284854444444
"Beaconsfield",603500,2,-38.05141,145.377015
"Beaconsfield Upper",719500,2,-38.0039,145.410375
"Beaumaris",1639134.61538462,26,-37.9829407692308,145.040594230769
"Bellfield",814472.222222222,18,-37.7522388888889,145.040267777778
"Bentleigh",1282835,150,-37.9232604666667,145.039868466667
"Bentleigh East",1093816.62318841,276,-37.9211396014493,145.067702101449
"Berwick",780722.222222222,18,-38.0443855555556,145.343947222222
"Black Rock",1362676.47058824,17,-37.9739176470588,145.019553529412
"Blackburn",1319300,27,-37.8218840740741,145.151511111111
"Blackburn North",1153470.58823529,17,-37.8056894117647,145.154396470588
"Blackburn South",1058678.57142857,14,-37.8385664285714,145.146536428571
"Bonbeach",1078200,5,-38.064106,145.124078
"Boronia",852633.333333333,15,-37.8599066666667,145.275368
"Box Hill",1273062.90322581,62,-37.8233006451613,145.127199354839
"Braybrook",701055.102040816,49,-37.7853597959184,144.852002040816
"Briar Hill",743590.909090909,11,-37.7064745454545,145.121025454545
"Brighton",1902505.52427184,206,-37.9106449029126,144.998058398058
"Brighton East",1551797.22222222,144,-37.9177514583333,145.017243958333
"Broadmeadows",589453.125,32,-37.6851,144.925805
"Brookfield",450500,2,-37.693695,144.55196
"Brooklyn",648900,9,-37.8218477777778,144.842744444444
"Brunswick",993780.357142857,252,-37.7665452777778,144.961828571429
"Brunswick East",897693.87755102,98,-37.7705160204082,144.975747755102
"Brunswick West",817817.5,120,-37.7629904166667,144.94314525
"Bulleen",1153142.46575342,73,-37.7703326027397,145.092327945205
"Bullengarook",535000,1,-37.50087,144.48571
"Bundoora",819818.181818182,44,-37.6955179545455,145.061655454545
"Burnley",1132751.25,8,-37.82899625,145.00987375
"Burnside",618750,2,-37.748715,144.75114
"Burnside Heights",593200,5,-37.732808,144.758854
"Burwood",1262815.90909091,88,-37.8516123863636,145.112295568182
"Burwood East",1082547.05882353,17,-37.8549458823529,145.147212352941
"Cairnlea",678375,8,-37.75625125,144.78173875
